This is Ipopt version 3.14.17, running with linear solver MUMPS 5.7.3.

Number of nonzeros in equality constraint Jacobian...:      850
Number of nonzeros in inequality constraint Jacobian.:      417
Number of nonzeros in Lagrangian Hessian.............:     1309

Total number of variables............................:      355
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      314
                     variables with only upper bounds:        0
Total number of equality constraints.................:      205
Total number of inequality constraints...............:      158
        inequality constraints with only lower bounds:      116
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:       42

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  47  1.8582839e+02 1.20e+01 1.07e+03  -1.0 5.82e+02    -  1.26e-03 5.00e-04h  1
  48r 1.8582839e+02 1.20e+01 1.00e+03   1.0 0.00e+00    -  0.00e+00 2.74e-07R  6
  49r 1.8691615e+02 8.83e-01 1.08e+03   1.0 5.24e+03    -  2.76e-04 1.58e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  9.9407106e+01 4.21e-01 1.34e+02  -1.0 8.81e+01    -  8.11e-03 4.96e-01f  1
  51  9.9364872e+01 3.65e-01 1.80e+02  -1.0 4.48e-01   1.5 3.97e-01 1.35e-01h  1
  52  9.9141768e+01 2.55e-01 1.10e+02  -1.0 4.37e-01   1.0 6.55e-01 3.00e-01h  1
  53  5.1547204e+01 2.26e-01 9.65e+01  -1.0 2.12e+02    -  1.23e-01 1.14e-01f  1
  54  1.1127124e+01 1.57e-01 6.74e+01  -1.0 6.63e+01    -  3.03e-01 3.06e-01f  1
  55  1.0758258e+01 3.65e-01 6.33e+01  -1.0 1.27e+00   0.6 7.82e-02 5.42e-01h  1
  56  1.0579139e+01 2.70e-01 9.68e+01  -1.0 8.77e-01    -  1.14e-02 2.32e-01h  1
  57  1.0397603e+01 3.12e-01 4.27e+02  -1.0 1.02e+00    -  1.22e-01 3.62e-01h  1
  58  1.0390544e+01 2.14e-01 2.84e+02  -1.0 3.67e-01   1.9 1.37e-02 3.35e-01h  1
  59  1.0389081e+01 1.66e-01 2.31e+02  -1.0 4.91e-01   2.3 2.18e-01 1.85e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  1.0377538e+01 1.01e-01 1.71e+02  -1.0 7.36e-01   1.8 9.90e-01 5.30e-01h  1
  61  1.0345831e+01 3.99e-02 4.33e+02  -1.0 1.03e-01   1.4 1.52e-01 6.73e-01h  1
  62  1.0305002e+01 1.61e-02 5.88e+02  -1.0 1.01e-01   0.9 4.63e-01 6.43e-01h  1
  63  1.0283368e+01 5.73e-03 1.37e+03  -1.0 3.62e-01    -  9.90e-01 6.61e-01h  1
  64  1.0325431e+01 1.15e-03 1.96e+03  -1.0 1.28e+00    -  9.90e-01 6.76e-01h  1
  65  1.0392423e+01 1.24e-03 2.60e+03  -1.0 5.17e-02    -  1.00e+00 6.21e-01h  1
  66  1.0440078e+01 8.72e-04 4.66e+03  -1.0 1.94e-02    -  1.00e+00 2.97e-01h  1
  67  1.0542036e+01 5.74e-04 7.85e+03  -1.0 9.69e-02    -  1.00e+00 3.41e-01h  1
  68  1.1368576e+01 8.34e-05 2.47e+03  -1.0 5.52e-01    -  6.04e-01 9.70e-01h  1
  69  1.1441850e+01 8.18e-05 9.90e+03  -1.0 1.87e+00    -  9.99e-01 3.12e-02f  6
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70  1.5252000e+01 2.96e-05 2.08e+03  -1.0 2.71e+00    -  7.62e-01 1.00e+00h  1
  71  1.4232310e+01 2.92e-05 1.07e+01  -1.0 1.68e+00    -  1.00e+00 1.00e+00h  1
  72  6.4120548e+00 3.04e-05 6.30e+02  -1.7 1.01e-01    -  1.00e+00 9.22e-01f  1
  73  6.3441889e+00 3.05e-05 6.21e+03  -1.7 4.10e-01    -  1.00e+00 2.50e-01f  3
  74  6.1626187e+00 3.06e-05 6.42e-01  -1.7 3.27e-01    -  1.00e+00 1.00e+00h  1
  75  4.8888833e+00 3.07e-05 1.03e+04  -3.8 2.71e-02    -  9.99e-01 6.24e-01f  1
  76  4.2853495e+00 3.03e-05 5.19e+03  -3.8 5.01e-02    -  4.55e-01 8.51e-01f  1
  77  7.8322146e+00 2.62e-05 2.19e+04  -3.8 3.48e+00    -  2.31e-01 1.00e+00h  1
  78  1.2403907e+01 1.86e-05 2.82e+04  -3.8 4.51e+00    -  2.26e-01 1.00e+00h  1
  79  1.7488607e+01 1.75e-05 3.79e+04  -3.8 4.38e+00    -  5.63e-02 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80  1.3618094e+01 1.72e-05 4.19e+04  -3.8 2.63e+00    -  2.02e-01 1.00e+00f  1
  81  1.5816624e+01 1.04e-05 5.52e+04  -3.8 5.03e+00    -  9.06e-02 1.00e+00H  1
  82  1.7023108e+01 9.45e-06 3.74e+04  -3.8 5.93e+00    -  4.67e-01 1.00e+00H  1
  83  1.8027074e+01 9.42e-06 3.32e+04  -3.8 3.22e+00    -  3.52e-01 1.00e+00H  1
  84  1.9162739e+01 8.76e-06 4.52e+04  -3.8 3.22e+00    -  1.76e-02 1.00e+00H  1
