This is Ipopt version 3.14.17, running with linear solver MUMPS 5.7.3.

Number of nonzeros in equality constraint Jacobian...:      850
Number of nonzeros in inequality constraint Jacobian.:      417
Number of nonzeros in Lagrangian Hessian.............:     1309

Total number of variables............................:      355
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      314
                     variables with only upper bounds:        0
Total number of equality constraints.................:      205
Total number of inequality constraints...............:      158
        inequality constraints with only lower bounds:      116
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:       42

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 206  3.5909292e+01 1.19e-06 1.66e-02  -5.7 2.51e-03    -  1.00e+00 1.00e+00h  1
 207  3.5924231e+01 1.19e-06 1.62e-02  -5.7 2.48e-03    -  1.00e+00 1.00e+00h  1
 208  3.5939000e+01 1.18e-06 1.59e-02  -5.7 2.46e-03    -  1.00e+00 1.00e+00h  1
 209  3.5953601e+01 1.18e-06 1.55e-02  -5.7 2.43e-03    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 210  3.5968038e+01 1.17e-06 1.52e-02  -5.7 2.41e-03    -  1.00e+00 1.00e+00h  1
 211  3.5982313e+01 1.17e-06 1.48e-02  -5.7 2.38e-03    -  1.00e+00 1.00e+00h  1
 212  3.5996430e+01 1.16e-06 1.45e-02  -5.7 2.36e-03    -  1.00e+00 1.00e+00h  1
 213  3.6010392e+01 1.16e-06 1.42e-02  -5.7 2.34e-03    -  1.00e+00 1.00e+00h  1
 214  3.6024202e+01 1.15e-06 1.38e-02  -5.7 2.32e-03    -  1.00e+00 1.00e+00h  1
 215  3.6037865e+01 1.15e-06 1.35e-02  -5.7 2.29e-03    -  1.00e+00 1.00e+00h  1
 216  3.6051384e+01 1.14e-06 1.33e-02  -5.7 2.27e-03    -  1.00e+00 1.00e+00h  1
 217  3.6064770e+01 1.14e-06 1.30e-02  -5.7 2.25e-03    -  1.00e+00 1.00e+00h  1
 218  3.6078051e+01 1.13e-06 1.27e-02  -5.7 2.23e-03    -  1.00e+00 1.00e+00h  1
 219  3.6091435e+01 1.13e-06 9.98e+02  -5.7 2.21e-03    -  6.74e-01 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 220  3.6157754e+01 1.12e-06 1.22e-02  -5.7 5.25e-02    -  1.00e+00 1.00e+00h  1
 221  3.6144621e+01 1.12e-06 1.19e-02  -5.7 2.64e-02    -  1.00e+00 1.00e+00f  1
 222  3.6157941e+01 1.12e-06 1.17e-02  -5.7 2.15e-03    -  1.00e+00 1.00e+00h  1
 223  3.6176714e+01 1.11e-06 1.14e-02  -5.7 5.68e-03    -  1.00e+00 1.00e+00h  1
 224  3.6189881e+01 1.11e-06 1.12e-02  -5.7 2.11e-03    -  1.00e+00 1.00e+00h  1
 225  3.6202936e+01 1.10e-06 1.10e-02  -5.7 2.09e-03    -  1.00e+00 1.00e+00h  1
 226  3.6215866e+01 1.10e-06 1.08e-02  -5.7 2.08e-03    -  1.00e+00 1.00e+00h  1
 227  3.6228674e+01 1.10e-06 1.06e-02  -5.7 2.06e-03    -  1.00e+00 1.00e+00h  1
 228  3.6241362e+01 1.09e-06 1.05e-02  -5.7 2.04e-03    -  1.00e+00 1.00e+00h  1
 229  3.6253932e+01 1.09e-06 1.03e-02  -5.7 2.02e-03    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 230  3.6266386e+01 1.09e-06 1.02e-02  -5.7 2.00e-03    -  1.00e+00 1.00e+00h  1
 231  3.6278727e+01 1.08e-06 1.01e-02  -5.7 1.99e-03    -  1.00e+00 1.00e+00h  1
 232  3.6290955e+01 1.08e-06 9.93e-03  -5.7 1.97e-03    -  1.00e+00 1.00e+00h  1
 233  3.6303075e+01 1.08e-06 9.80e-03  -5.7 1.95e-03    -  1.00e+00 1.00e+00h  1
 234  3.6315087e+01 1.07e-06 9.68e-03  -5.7 1.94e-03    -  1.00e+00 1.00e+00h  1
 235  3.6326995e+01 1.07e-06 9.55e-03  -5.7 1.92e-03    -  1.00e+00 1.00e+00h  1
 236  3.6338803e+01 1.07e-06 9.43e-03  -5.7 1.91e-03    -  1.00e+00 1.00e+00h  1
 237  3.6350518e+01 1.06e-06 9.31e-03  -5.7 1.89e-03    -  1.00e+00 1.00e+00h  1
 238  3.6362154e+01 1.06e-06 9.19e-03  -5.7 1.87e-03    -  1.00e+00 1.00e+00h  1
 239  3.6373750e+01 1.06e-06 9.08e-03  -5.7 1.86e-03    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 240  3.6385504e+01 1.05e-06 8.97e-03  -5.7 1.84e-03    -  1.00e+00 1.00e+00h  1
 241  3.6403519e+01 1.04e-06 2.37e+03  -5.7 6.77e-03    -  1.59e-01 1.00e+00h  1
 242  3.7912969e+01 8.50e-07 1.76e-02  -5.7 1.50e+00    -  1.00e+00 1.00e+00h  1
 243  3.7183202e+01 8.46e-07 8.76e-03  -5.7 7.38e-01    -  1.00e+00 1.00e+00f  1
 244  3.7193812e+01 8.43e-07 8.65e-03  -5.7 2.78e-03    -  1.00e+00 1.00e+00h  1
 245  3.7228482e+01 8.39e-07 8.55e-03  -5.7 2.70e-02    -  1.00e+00 1.00e+00h  1
 246  3.7237741e+01 8.36e-07 8.45e-03  -5.7 1.78e-03    -  1.00e+00 1.00e+00h  1
 247  3.7247018e+01 8.33e-07 8.34e-03  -5.7 1.77e-03    -  1.00e+00 1.00e+00h  1
 248  3.7256230e+01 8.29e-07 8.24e-03  -5.7 1.75e-03    -  1.00e+00 1.00e+00h  1
 249  3.7265379e+01 8.26e-07 8.15e-03  -5.7 1.74e-03    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 250  3.7274467e+01 8.23e-07 8.05e-03  -5.7 1.73e-03    -  1.00e+00 1.00e+00h  1
 251  3.7283495e+01 8.19e-07 7.95e-03  -5.7 1.71e-03    -  1.00e+00 1.00e+00h  1
 252  3.7292462e+01 8.16e-07 7.86e-03  -5.7 1.70e-03    -  1.00e+00 1.00e+00h  1
 253  3.7301370e+01 8.13e-07 7.77e-03  -5.7 1.69e-03    -  1.00e+00 1.00e+00h  1
 254  3.7310220e+01 8.10e-07 7.68e-03  -5.7 1.67e-03    -  1.00e+00 1.00e+00h  1
 255  3.7319012e+01 8.07e-07 7.59e-03  -5.7 1.66e-03    -  1.00e+00 1.00e+00h  1
 256  3.7327746e+01 8.03e-07 7.50e-03  -5.7 1.65e-03    -  1.00e+00 1.00e+00h  1
 257  3.7336424e+01 8.00e-07 7.42e-03  -5.7 1.65e-03    -  1.00e+00 1.00e+00h  1
 258  3.7345047e+01 7.97e-07 7.33e-03  -5.7 1.64e-03    -  1.00e+00 1.00e+00h  1
 259  3.7353613e+01 7.94e-07 7.25e-03  -5.7 1.63e-03    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 260  3.7362126e+01 7.91e-07 7.17e-03  -5.7 1.62e-03    -  1.00e+00 1.00e+00h  1
 261  3.7370584e+01 7.88e-07 7.09e-03  -5.7 1.62e-03    -  1.00e+00 1.00e+00h  1
 262  3.7378989e+01 7.85e-07 7.01e-03  -5.7 1.61e-03    -  1.00e+00 1.00e+00h  1
 263  3.7387341e+01 7.82e-07 6.93e-03  -5.7 1.60e-03    -  1.00e+00 1.00e+00h  1
 264  3.7395642e+01 7.80e-07 6.85e-03  -5.7 1.59e-03    -  1.00e+00 1.00e+00h  1
 265  3.7403890e+01 7.77e-07 6.78e-03  -5.7 1.59e-03    -  1.00e+00 1.00e+00h  1
 266  3.7412088e+01 7.74e-07 6.71e-03  -5.7 1.58e-03    -  1.00e+00 1.00e+00h  1
 267  3.7420235e+01 7.71e-07 6.63e-03  -5.7 1.57e-03    -  1.00e+00 1.00e+00h  1
 268  3.7428333e+01 7.68e-07 6.56e-03  -5.7 1.57e-03    -  1.00e+00 1.00e+00h  1
 269  3.7436382e+01 7.66e-07 6.49e-03  -5.7 1.56e-03    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 270  3.7444382e+01 7.63e-07 6.42e-03  -5.7 1.55e-03    -  1.00e+00 1.00e+00h  1
 271  3.7452334e+01 7.60e-07 6.35e-03  -5.7 1.54e-03    -  1.00e+00 1.00e+00h  1
 272  3.7460240e+01 7.57e-07 6.29e-03  -5.7 1.54e-03    -  1.00e+00 1.00e+00h  1
 273  3.7468099e+01 7.55e-07 6.22e-03  -5.7 1.53e-03    -  1.00e+00 1.00e+00h  1
 274  3.7475914e+01 7.52e-07 6.16e-03  -5.7 1.52e-03    -  1.00e+00 1.00e+00h  1
 275  3.7483685e+01 7.50e-07 6.09e-03  -5.7 1.52e-03    -  1.00e+00 1.00e+00h  1
 276  3.7491416e+01 7.47e-07 6.03e-03  -5.7 1.51e-03    -  1.00e+00 1.00e+00h  1
 277  3.7499110e+01 7.44e-07 5.97e-03  -5.7 1.51e-03    -  1.00e+00 1.00e+00h  1
 278  3.7506781e+01 7.42e-07 5.91e-03  -5.7 1.50e-03    -  1.00e+00 1.00e+00h  1
 279  3.7514463e+01 7.39e-07 5.85e-03  -5.7 1.49e-03    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 280  3.7522351e+01 7.37e-07 5.79e-03  -5.7 1.48e-03    -  1.00e+00 1.00e+00h  1
 281  3.7537829e+01 7.34e-07 1.34e+03  -5.7 7.99e-03    -  3.26e-01 1.00e+00h  1
 282  3.7548680e+01 7.32e-07 5.66e-03  -5.7 3.41e-03    -  1.00e+00 1.00e+00h  1
 283  3.7554521e+01 7.29e-07 5.60e-03  -5.7 1.56e-03    -  1.00e+00 1.00e+00h  1
 284  3.7562026e+01 7.27e-07 5.55e-03  -5.7 1.44e-03    -  1.00e+00 1.00e+00h  1
 285  3.7569451e+01 7.25e-07 5.49e-03  -5.7 1.43e-03    -  1.00e+00 1.00e+00h  1
 286  3.7576823e+01 7.22e-07 5.44e-03  -5.7 1.43e-03    -  1.00e+00 1.00e+00h  1
 287  3.7584154e+01 7.20e-07 5.38e-03  -5.7 1.42e-03    -  1.00e+00 1.00e+00h  1
 288  3.7591446e+01 7.18e-07 5.33e-03  -5.7 1.41e-03    -  1.00e+00 1.00e+00h  1
 289  3.7598697e+01 7.15e-07 5.28e-03  -5.7 1.41e-03    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 290  3.7605909e+01 7.13e-07 5.23e-03  -5.7 1.40e-03    -  1.00e+00 1.00e+00h  1
 291  3.7613083e+01 7.11e-07 5.18e-03  -5.7 1.40e-03    -  1.00e+00 1.00e+00h  1
 292  3.7620217e+01 7.08e-07 5.13e-03  -5.7 1.39e-03    -  1.00e+00 1.00e+00h  1
 293  3.7627314e+01 7.06e-07 5.08e-03  -5.7 1.38e-03    -  1.00e+00 1.00e+00h  1
 294  3.7634373e+01 7.04e-07 5.03e-03  -5.7 1.38e-03    -  1.00e+00 1.00e+00h  1
 295  3.7641394e+01 7.02e-07 4.99e-03  -5.7 1.37e-03    -  1.00e+00 1.00e+00h  1
 296  3.7648378e+01 7.00e-07 4.94e-03  -5.7 1.37e-03    -  1.00e+00 1.00e+00h  1
 297  3.7655326e+01 6.97e-07 4.89e-03  -5.7 1.36e-03    -  1.00e+00 1.00e+00h  1
 298  3.7662237e+01 6.95e-07 4.85e-03  -5.7 1.36e-03    -  1.00e+00 1.00e+00h  1
 299  3.7669112e+01 6.93e-07 4.80e-03  -5.7 1.35e-03    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 300  3.7675951e+01 6.91e-07 4.76e-03  -5.7 1.34e-03    -  1.00e+00 1.00e+00h  1
 301  3.7682755e+01 6.89e-07 4.72e-03  -5.7 1.34e-03    -  1.00e+00 1.00e+00h  1
 302  3.7689524e+01 6.87e-07 4.67e-03  -5.7 1.33e-03    -  1.00e+00 1.00e+00h  1
 303  3.7696259e+01 6.85e-07 4.63e-03  -5.7 1.33e-03    -  1.00e+00 1.00e+00h  1
 304  3.7702958e+01 6.83e-07 4.59e-03  -5.7 1.32e-03    -  1.00e+00 1.00e+00h  1
 305  3.7709624e+01 6.81e-07 4.55e-03  -5.7 1.32e-03    -  1.00e+00 1.00e+00h  1
 306  3.7716257e+01 6.78e-07 4.51e-03  -5.7 1.31e-03    -  1.00e+00 1.00e+00h  1
 307  3.7722855e+01 6.76e-07 4.47e-03  -5.7 1.31e-03    -  1.00e+00 1.00e+00h  1
 308  3.7729421e+01 6.74e-07 4.43e-03  -5.7 1.30e-03    -  1.00e+00 1.00e+00h  1
 309  3.7735954e+01 6.72e-07 4.39e-03  -5.7 1.30e-03    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 310  3.7742454e+01 6.71e-07 4.35e-03  -5.7 1.29e-03    -  1.00e+00 1.00e+00h  1
 311  3.7748922e+01 6.69e-07 4.31e-03  -5.7 1.29e-03    -  1.00e+00 1.00e+00h  1
 312  3.7755358e+01 6.67e-07 4.28e-03  -5.7 1.28e-03    -  1.00e+00 1.00e+00h  1
 313  3.7761763e+01 6.65e-07 4.24e-03  -5.7 1.28e-03    -  1.00e+00 1.00e+00h  1
 314  3.7768136e+01 6.63e-07 4.20e-03  -5.7 1.27e-03    -  1.00e+00 1.00e+00h  1
 315  3.7774478e+01 6.61e-07 4.17e-03  -5.7 1.27e-03    -  1.00e+00 1.00e+00h  1
 316  3.7780789e+01 6.59e-07 4.13e-03  -5.7 1.26e-03    -  1.00e+00 1.00e+00h  1
 317  3.7787070e+01 6.57e-07 4.09e-03  -5.7 1.26e-03    -  1.00e+00 1.00e+00h  1
 318  3.7793321e+01 6.55e-07 4.06e-03  -5.7 1.25e-03    -  1.00e+00 1.00e+00h  1
 319  3.7799814e+01 6.53e-07 5.73e-03  -6.0 1.32e-03    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 320  3.7808006e+01 6.51e-07 5.67e-03  -6.0 1.66e-03    -  1.00e+00 1.00e+00h  1
 321  3.7815346e+01 6.49e-07 5.61e-03  -6.0 1.47e-03    -  1.00e+00 1.00e+00h  1
 322  3.7822640e+01 6.46e-07 5.56e-03  -6.0 1.47e-03    -  1.00e+00 1.00e+00h  1
 323  3.7829892e+01 6.44e-07 5.50e-03  -6.0 1.46e-03    -  1.00e+00 1.00e+00h  1
 324  3.7837104e+01 6.42e-07 5.45e-03  -6.0 1.45e-03    -  1.00e+00 1.00e+00h  1
 325  3.7844275e+01 6.40e-07 5.40e-03  -6.0 1.45e-03    -  1.00e+00 1.00e+00h  1
 326  3.7851407e+01 6.38e-07 5.34e-03  -6.0 1.44e-03    -  1.00e+00 1.00e+00h  1
 327  3.7858500e+01 6.36e-07 5.29e-03  -6.0 1.43e-03    -  1.00e+00 1.00e+00h  1
 328  3.7865554e+01 6.34e-07 5.24e-03  -6.0 1.43e-03    -  1.00e+00 1.00e+00h  1
 329  3.7872569e+01 6.32e-07 5.19e-03  -6.0 1.42e-03    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 330  3.7879546e+01 6.30e-07 5.14e-03  -6.0 1.41e-03    -  1.00e+00 1.00e+00h  1
 331  3.7886486e+01 6.28e-07 5.09e-03  -6.0 1.41e-03    -  1.00e+00 1.00e+00h  1
 332  3.7893388e+01 6.26e-07 5.04e-03  -6.0 1.40e-03    -  1.00e+00 1.00e+00h  1
 333  3.7900253e+01 6.24e-07 5.00e-03  -6.0 1.40e-03    -  1.00e+00 1.00e+00h  1
 334  3.7907082e+01 6.22e-07 4.95e-03  -6.0 1.39e-03    -  1.00e+00 1.00e+00h  1
 335  3.7913875e+01 6.20e-07 4.90e-03  -6.0 1.38e-03    -  1.00e+00 1.00e+00h  1
 336  3.7920632e+01 6.18e-07 4.86e-03  -6.0 1.38e-03    -  1.00e+00 1.00e+00h  1
 337  3.7927354e+01 6.16e-07 4.81e-03  -6.0 1.37e-03    -  1.00e+00 1.00e+00h  1
 338  3.7934042e+01 6.14e-07 4.77e-03  -6.0 1.37e-03    -  1.00e+00 1.00e+00h  1
 339  3.7940697e+01 6.12e-07 4.73e-03  -6.0 1.36e-03    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 340  3.7947320e+01 6.11e-07 4.68e-03  -6.0 1.35e-03    -  1.00e+00 1.00e+00h  1
 341  3.7953914e+01 6.09e-07 4.64e-03  -6.0 1.35e-03    -  1.00e+00 1.00e+00h  1
 342  3.7960489e+01 6.07e-07 4.60e-03  -6.0 1.34e-03    -  1.00e+00 1.00e+00h  1
 343  3.7967084e+01 6.05e-07 4.56e-03  -6.0 1.34e-03    -  1.00e+00 1.00e+00h  1
 344  3.7974289e+01 6.03e-07 1.29e+03  -6.0 1.33e-03    -  3.39e-01 1.00e+00h  1
 345  3.8011353e+01 6.01e-07 4.47e-03  -6.0 3.02e-02    -  1.00e+00 1.00e+00h  1
 346  3.8003271e+01 6.00e-07 4.43e-03  -6.0 1.47e-02    -  1.00e+00 1.00e+00f  1
 347  3.8010084e+01 5.98e-07 4.40e-03  -6.0 1.31e-03    -  1.00e+00 1.00e+00h  1
 348  3.8017963e+01 5.96e-07 4.36e-03  -6.0 1.31e-03    -  1.00e+00 1.00e+00h  1
 349  3.8024619e+01 5.94e-07 4.32e-03  -6.0 1.30e-03    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 350  3.8031248e+01 5.93e-07 4.28e-03  -6.0 1.30e-03    -  1.00e+00 1.00e+00h  1
 351  3.8037847e+01 5.91e-07 4.24e-03  -6.0 1.29e-03    -  1.00e+00 1.00e+00h  1
 352  3.8044415e+01 5.89e-07 4.21e-03  -6.0 1.29e-03    -  1.00e+00 1.00e+00h  1
 353  3.8050952e+01 5.88e-07 4.17e-03  -6.0 1.28e-03    -  1.00e+00 1.00e+00h  1
 354  3.8057459e+01 5.86e-07 4.13e-03  -6.0 1.28e-03    -  1.00e+00 1.00e+00h  1
 355  3.8063937e+01 5.84e-07 4.10e-03  -6.0 1.27e-03    -  1.00e+00 1.00e+00h  1
 356  3.8070384e+01 5.83e-07 4.06e-03  -6.0 1.27e-03    -  1.00e+00 1.00e+00h  1
 357  3.8076803e+01 5.81e-07 4.03e-03  -6.0 1.26e-03    -  1.00e+00 1.00e+00h  1
 358  3.8083192e+01 5.79e-07 4.00e-03  -6.0 1.26e-03    -  1.00e+00 1.00e+00h  1
 359  3.8089553e+01 5.78e-07 3.96e-03  -6.0 1.25e-03    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 360  3.8095885e+01 5.76e-07 3.93e-03  -6.0 1.25e-03    -  1.00e+00 1.00e+00h  1
 361  3.8102189e+01 5.74e-07 3.90e-03  -6.0 1.24e-03    -  1.00e+00 1.00e+00h  1
 362  3.8108465e+01 5.73e-07 3.87e-03  -6.0 1.24e-03    -  1.00e+00 1.00e+00h  1
 363  3.8114713e+01 5.71e-07 3.83e-03  -6.0 1.23e-03    -  1.00e+00 1.00e+00h  1
 364  3.8120933e+01 5.70e-07 3.80e-03  -6.0 1.23e-03    -  1.00e+00 1.00e+00h  1
 365  3.8127126e+01 5.68e-07 3.77e-03  -6.0 1.22e-03    -  1.00e+00 1.00e+00h  1
 366  3.8133292e+01 5.67e-07 3.74e-03  -6.0 1.22e-03    -  1.00e+00 1.00e+00h  1
 367  3.8139431e+01 5.65e-07 3.71e-03  -6.0 1.21e-03    -  1.00e+00 1.00e+00h  1
 368  3.8145543e+01 5.63e-07 3.68e-03  -6.0 1.21e-03    -  1.00e+00 1.00e+00h  1
 369  3.8151629e+01 5.62e-07 3.65e-03  -6.0 1.20e-03    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 370  3.8157689e+01 5.60e-07 3.62e-03  -6.0 1.20e-03    -  1.00e+00 1.00e+00h  1
 371  3.8163723e+01 5.59e-07 3.59e-03  -6.0 1.19e-03    -  1.00e+00 1.00e+00h  1
 372  3.8169731e+01 5.57e-07 3.56e-03  -6.0 1.19e-03    -  1.00e+00 1.00e+00h  1
 373  3.8175713e+01 5.56e-07 3.53e-03  -6.0 1.18e-03    -  1.00e+00 1.00e+00h  1
 374  3.8181670e+01 5.55e-07 3.51e-03  -6.0 1.18e-03    -  1.00e+00 1.00e+00h  1
 375  3.8187602e+01 5.53e-07 3.48e-03  -6.0 1.18e-03    -  1.00e+00 1.00e+00h  1
 376  3.8193509e+01 5.52e-07 3.45e-03  -6.0 1.17e-03    -  1.00e+00 1.00e+00h  1
 377  3.8199391e+01 5.50e-07 3.43e-03  -6.0 1.17e-03    -  1.00e+00 1.00e+00h  1
 378  3.8205249e+01 5.49e-07 3.40e-03  -6.0 1.16e-03    -  1.00e+00 1.00e+00h  1
 379  3.8211082e+01 5.47e-07 3.37e-03  -6.0 1.16e-03    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 380  3.8216892e+01 5.46e-07 3.35e-03  -6.0 1.15e-03    -  1.00e+00 1.00e+00h  1
 381  3.8222677e+01 5.44e-07 3.32e-03  -6.0 1.15e-03    -  1.00e+00 1.00e+00h  1
 382  3.8228438e+01 5.43e-07 3.29e-03  -6.0 1.14e-03    -  1.00e+00 1.00e+00h  1
 383  3.8234176e+01 5.42e-07 3.27e-03  -6.0 1.14e-03    -  1.00e+00 1.00e+00h  1
 384  3.8239891e+01 5.40e-07 3.24e-03  -6.0 1.14e-03    -  1.00e+00 1.00e+00h  1
 385  3.8245582e+01 5.39e-07 3.22e-03  -6.0 1.13e-03    -  1.00e+00 1.00e+00h  1
 386  3.8251250e+01 5.38e-07 3.20e-03  -6.0 1.13e-03    -  1.00e+00 1.00e+00h  1
 387  3.8256896e+01 5.36e-07 3.17e-03  -6.0 1.12e-03    -  1.00e+00 1.00e+00h  1
 388  3.8262519e+01 5.35e-07 3.15e-03  -6.0 1.12e-03    -  1.00e+00 1.00e+00h  1
 389  3.8268119e+01 5.34e-07 3.12e-03  -6.0 1.11e-03    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 390  3.8273697e+01 5.32e-07 3.10e-03  -6.0 1.11e-03    -  1.00e+00 1.00e+00h  1
 391  3.8279253e+01 5.31e-07 3.08e-03  -6.0 1.11e-03    -  1.00e+00 1.00e+00h  1
 392  3.8284787e+01 5.30e-07 3.06e-03  -6.0 1.10e-03    -  1.00e+00 1.00e+00h  1
 393  3.8290299e+01 5.28e-07 3.03e-03  -6.0 1.10e-03    -  1.00e+00 1.00e+00h  1
 394  3.8295790e+01 5.27e-07 3.01e-03  -6.0 1.09e-03    -  1.00e+00 1.00e+00h  1
 395  3.8301259e+01 5.26e-07 2.99e-03  -6.0 1.09e-03    -  1.00e+00 1.00e+00h  1
 396  3.8306707e+01 5.24e-07 2.97e-03  -6.0 1.09e-03    -  1.00e+00 1.00e+00h  1
 397  3.8312134e+01 5.23e-07 2.95e-03  -6.0 1.08e-03    -  1.00e+00 1.00e+00h  1
 398  3.8317539e+01 5.22e-07 2.92e-03  -6.0 1.08e-03    -  1.00e+00 1.00e+00h  1
 399  3.8322924e+01 5.21e-07 2.90e-03  -6.0 1.08e-03    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 400  3.8328288e+01 5.19e-07 2.88e-03  -6.0 1.07e-03    -  1.00e+00 1.00e+00h  1
 401  3.8333632e+01 5.18e-07 2.86e-03  -6.0 1.07e-03    -  1.00e+00 1.00e+00h  1
 402  3.8338956e+01 5.17e-07 2.84e-03  -6.0 1.06e-03    -  1.00e+00 1.00e+00h  1
 403  3.8344259e+01 5.16e-07 2.82e-03  -6.0 1.06e-03    -  1.00e+00 1.00e+00h  1
 404  3.8349542e+01 5.15e-07 2.80e-03  -6.0 1.06e-03    -  1.00e+00 1.00e+00h  1
 405  3.8354805e+01 5.13e-07 2.78e-03  -6.0 1.05e-03    -  1.00e+00 1.00e+00h  1
 406  3.8360049e+01 5.12e-07 2.76e-03  -6.0 1.05e-03    -  1.00e+00 1.00e+00h  1
 407  3.8365273e+01 5.11e-07 2.74e-03  -6.0 1.05e-03    -  1.00e+00 1.00e+00h  1
 408  3.8370477e+01 5.10e-07 2.72e-03  -6.0 1.04e-03    -  1.00e+00 1.00e+00h  1
 409  3.8375662e+01 5.09e-07 2.70e-03  -6.0 1.04e-03    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 410  3.8380828e+01 5.07e-07 2.69e-03  -6.0 1.03e-03    -  1.00e+00 1.00e+00h  1
 411  3.8385975e+01 5.06e-07 2.67e-03  -6.0 1.03e-03    -  1.00e+00 1.00e+00h  1
 412  3.8391103e+01 5.05e-07 2.65e-03  -6.0 1.03e-03    -  1.00e+00 1.00e+00h  1
 413  3.8396213e+01 5.04e-07 2.63e-03  -6.0 1.02e-03    -  1.00e+00 1.00e+00h  1
 414  3.8401304e+01 5.03e-07 2.61e-03  -6.0 1.02e-03    -  1.00e+00 1.00e+00h  1
 415  3.8406376e+01 5.02e-07 2.59e-03  -6.0 1.02e-03    -  1.00e+00 1.00e+00h  1
 416  3.8411430e+01 5.00e-07 2.58e-03  -6.0 1.01e-03    -  1.00e+00 1.00e+00h  1
 417  3.8416466e+01 4.99e-07 2.56e-03  -6.0 1.01e-03    -  1.00e+00 1.00e+00h  1
 418  3.8421483e+01 4.98e-07 2.54e-03  -6.0 1.01e-03    -  1.00e+00 1.00e+00h  1

Number of Iterations....: 418

                                   (scaled)                 (unscaled)
Objective...............:   3.8421483280000416e+01    3.8421483280000416e+01
Dual infeasibility......:   2.5422678063478088e-03    2.5422678063478088e-03
Constraint violation....:   4.9819053898891852e-07    4.9819053898891852e-07
Variable bound violation:   0.0000000000000000e+00    0.0000000000000000e+00
Complementarity.........:   9.0913449730345146e-07    9.0913449730345146e-07
Overall NLP error.......:   9.9281334638294119e-06    2.5422678063478088e-03


Number of objective function evaluations             = 464
Number of objective gradient evaluations             = 410
Number of equality constraint evaluations            = 464
Number of inequality constraint evaluations          = 464
Number of equality constraint Jacobian evaluations   = 423
Number of inequality constraint Jacobian evaluations = 423
Number of Lagrangian Hessian evaluations             = 418
Total seconds in IPOPT                               = 0.469

EXIT: Optimal Solution Found.
